entrez_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
105377921,LOC105377921,31.59401976,-0.97478521,0.202841556,-4.805648467,1.54E-06,6.74E-05
107984063,NA,85.49220096,-0.529670707,0.110363635,-4.799322792,1.59E-06,6.89E-05
101927057,LOC101927057,65.37987069,0.621823308,0.129686817,4.794807385,1.63E-06,6.97E-05
6275,S100A4,208.4563735,0.912024834,0.190235567,4.794186756,1.63E-06,6.98E-05
100130894,VAC14-AS1,249.5538565,0.58913667,0.122960556,4.791265511,1.66E-06,7.04E-05
2328,FMO3,47.79497282,0.859301695,0.17950736,4.786999785,1.69E-06,7.13E-05
285954,INHBA-AS1,68.35602935,-0.794825112,0.166037111,-4.787032885,1.69E-06,7.13E-05
11041,B4GAT1,4040.903048,-0.520686592,0.108833144,-4.784264892,1.72E-06,7.22E-05
1960,EGR3,408.2485414,-1.005898988,0.210363423,-4.781720014,1.74E-06,7.28E-05
10045,SH2D3A,7.994741667,0.936733894,0.195914115,4.781349694,1.74E-06,7.28E-05
158056,MAMDC4,246.7867025,0.523997143,0.109708273,4.776277381,1.79E-06,7.44E-05
151475,LINC01907,12.47384994,0.942544087,0.197499069,4.772397628,1.82E-06,7.56E-05
105375120,CHLSN-AS1,28.09131582,0.868919283,0.182262945,4.767394076,1.87E-06,7.70E-05
3687,ITGAX,712.4625641,0.666673351,0.140040352,4.760580378,1.93E-06,7.92E-05
105374760,LOC105374760,11.92990876,-0.813289887,0.170894659,-4.759012906,1.95E-06,7.93E-05
10052,GJC1,257.9326555,0.629978002,0.132378185,4.758926122,1.95E-06,7.93E-05
400087,LINC02393,13.92154341,1.315992022,0.276679418,4.756378459,1.97E-06,7.98E-05
9767,JADE3,230.941339,0.596171872,0.125380661,4.754894955,1.99E-06,8.01E-05
10653,SPINT2,1217.908709,-0.53683477,0.11292016,-4.754109204,1.99E-06,8.03E-05
2852,GPER1,557.071012,0.704673682,0.148241279,4.753559108,2.00E-06,8.03E-05
10874,NMU,5.097340104,-1.318284001,0.277411902,-4.752081618,2.01E-06,8.06E-05
442898,MIR324,11.37315006,0.886650381,0.186789615,4.746786274,2.07E-06,8.25E-05
400581,GRAPL,28.00729389,0.760073219,0.160232873,4.743553595,2.10E-06,8.33E-05
4041,LRP5,384.1542572,0.557312543,0.11753986,4.741477022,2.12E-06,8.37E-05
10584,COLEC10,3.660337059,-0.98009235,0.206785873,-4.739648492,2.14E-06,8.39E-05
10457,GPNMB,1353.82021,0.813571353,0.172099573,4.727329309,2.27E-06,8.76E-05
63940,GPSM3,413.3828835,0.629051761,0.133286074,4.719561027,2.36E-06,8.97E-05
247,ALOX15B,105.8096467,1.087791392,0.230550451,4.718235799,2.38E-06,9.00E-05
102723895,LINC02552,11.59870774,-0.978324806,0.207580177,-4.712997253,2.44E-06,9.20E-05
5217,PFN2,5651.416473,-0.586810617,0.124582695,-4.710209699,2.47E-06,9.25E-05
107986515,NA,4.415356599,-1.051367574,0.223150967,-4.711463213,2.46E-06,9.25E-05
27294,DHDH,37.31748261,-0.611219914,0.129921433,-4.704534898,2.54E-06,9.44E-05
27181,SIGLEC8,409.9539492,0.759864668,0.161542097,4.703818273,2.55E-06,9.46E-05
107985057,LOC107985057,23.73765923,0.577303205,0.122793145,4.701428608,2.58E-06,9.50E-05
387856,CCDC184,454.6440886,-0.775197879,0.164875841,-4.701706904,2.58E-06,9.50E-05
135,ADORA2A,203.4146738,0.667956438,0.142095786,4.700747685,2.59E-06,9.50E-05
2735,GLI1,98.67763403,0.609511676,0.129874123,4.693095601,2.69E-06,9.74E-05
631,BFSP1,65.6954528,-0.595303052,0.126933431,-4.689883871,2.73E-06,9.87E-05
64855,NIBAN2,1545.405418,0.502571696,0.107207272,4.687850823,2.76E-06,9.95E-05
3911,LAMA5,1663.036734,0.500322889,0.106755738,4.686613551,2.78E-06,9.97E-05
1286,COL4A4,113.2187476,0.645132367,0.137720774,4.684350431,2.81E-06,0.000100324
107987042,LOC107987042,9.542129482,0.749206332,0.160022664,4.681876382,2.84E-06,0.000101087
254773,LYG2,7.554787567,0.812377198,0.173583646,4.680033037,2.87E-06,0.000101668
729747,ZNF878,8.832320949,0.660237942,0.14127488,4.67342772,2.96E-06,0.000103479
8698,S1PR4,16.79686348,0.750155462,0.160628007,4.670141138,3.01E-06,0.000104691
286967,FAM223B,5.18714447,0.71817549,0.153856455,4.667828152,3.04E-06,0.000105602
613038,SGF29P2,32.51368637,-0.580943606,0.124514465,-4.66567164,3.08E-06,0.000106365
3003,GZMK,4.82383759,1.557952799,0.334213274,4.661552725,3.14E-06,0.000108045
100133612,LINC01134,3.955389695,1.274187263,0.273408809,4.66037384,3.16E-06,0.000108351
5165,PDK3,1044.597088,-0.52068799,0.11176011,-4.658978868,3.18E-06,0.000108931
3678,ITGA5,457.6273918,0.711203231,0.152690116,4.657821021,3.20E-06,0.00010923
101928922,LINC00463,119.3215042,0.864841064,0.185878354,4.652726079,3.28E-06,0.000111324
64759,TNS3,4124.003895,0.582200359,0.125219748,4.649429268,3.33E-06,0.000112315
103689912,TBX2-AS1,43.09129245,0.772482094,0.166183289,4.648374077,3.35E-06,0.000112471
729359,PLIN4,815.4699823,0.576510848,0.12403457,4.647985214,3.35E-06,0.000112471
1847,DUSP5,230.6263006,-0.652834594,0.140481236,-4.647130197,3.37E-06,0.000112773
171177,RHOV,41.48107912,-0.905939901,0.195084659,-4.643829527,3.42E-06,0.000114268
123920,CMTM3,419.2939455,0.538918698,0.116049704,4.643861029,3.42E-06,0.000114268
4542,MYO1F,503.1542949,0.600875891,0.129638978,4.634994052,3.57E-06,0.000118454
1464,CSPG4,1408.479595,0.602724351,0.130088837,4.633175025,3.60E-06,0.000119305
161931,ADAD2,21.34865933,-0.925964297,0.200008122,-4.629633484,3.66E-06,0.000121026
388242,SGF29P1,31.79377181,-0.574288257,0.124159799,-4.62539614,3.74E-06,0.000122844
